word,freq,label
covid,108323,2
case,20194,0
coronavirus,14184,3
death,9849,0
people,9285,4
pandemic,8071,2
mask,6488,1
health,5227,2
need,4963,1
positive,4875,0
today,4718,3
time,4700,4
total,4455,0
test,4401,3
india,4358,0
like,4147,1
help,4110,1
vaccine,3933,2
trump,3785,1
school,3768,4
state,3725,3
number,3716,3
last,3576,3
realdonaldtrump,3560,1
world,3446,2
country,3376,3
update,3361,0
news,3358,3
many,3261,4
know,3255,1
report,3226,0
august,2961,0
first,2953,2
reported,2910,0
spread,2870,2
virus,2821,2
lockdown,2771,2
take,2769,4
even,2745,4
still,2704,4
year,2703,4
home,2695,4
life,2679,1
work,2648,1
week,2634,2
government,2620,2
make,2608,1
back,2596,4
tested,2559,3
testing,2515,3
patient,2482,3
good,2481,1
business,2454,4
american,2414,4
going,2366,1
dont,2356,1
would,2353,1
want,2329,1
daily,2321,0
global,2316,3
please,2308,1
hospital,2275,3
million,2252,3
risk,2216,3
child,2149,4
care,2143,4
read,2136,2
could,2136,4
confirmed,2082,0
think,2070,1
face,2057,1
safe,2028,1
public,2027,4
recovery,2024,0
since,2006,3
keep,2002,1
month,1985,2
family,1974,4
latest,1964,3
corona,1961,3
look,1959,4
rate,1953,0
right,1942,1
data,1940,3
hour,1896,0
wear,1895,1
july,1852,0
support,1849,4
community,1813,2
student,1792,4
thing,1777,1
every,1769,4
social,1739,1
died,1715,2
well,1703,4
said,1689,2
great,1685,4
impact,1664,2
response,1646,2
active,1639,0
crisis,1625,2
also,1614,4
stay,1611,1
infection,1608,3
must,1596,1
stop,1567,1
show,1561,2
live,1535,2
much,1521,1
around,1518,2
come,1513,4
another,1509,2
recovered,1489,0
worker,1463,4
really,1434,1
part,1429,4
fight,1421,4
plan,1413,4
wearing,1412,1
everyone,1367,1
symptom,1367,3
watch,1351,2
china,1339,3
free,1334,4
tally,1325,0
check,1320,2
rise,1318,3
minister,1311,0
find,1300,4
important,1277,1
president,1269,4
video,1265,4
study,1257,3
taking,1252,2
change,1247,4
spike,1239,0
working,1238,4
getting,1234,1
best,1228,1
record,1216,0
join,1215,2
person,1210,4
result,1207,3
medical,1203,2
made,1197,4
give,1197,1
call,1196,4
economy,1191,2
next,1188,4
share,1183,4
online,1176,4
doctor,1175,4
quarantine,1172,2
never,1161,1
service,1159,4
woman,1158,2
official,1158,4
county,1157,3
start,1149,4
protect,1143,1
open,1139,4
better,1136,1
city,1132,3
medium,1114,4
team,1108,2
hand,1107,1
high,1106,3
sign,1098,1
across,1093,3
outbreak,1092,3
situation,1082,3
without,1080,4
local,1075,2
hope,1071,1
thanks,1060,4
thank,1055,1
cant,1050,1
love,1040,1
tell,1038,1
america,1036,4
healthcare,1031,2
including,1023,3
national,1022,2
place,1018,4
alert,1016,2
post,1013,2
amid,1002,3
leader,1001,4
long,1000,4
company,997,4
food,997,4
friend,996,1
expert,990,2
toll,989,0
staff,974,4
russia,973,3
follow,972,4
research,969,2
member,967,2
travel,965,2
system,961,4
article,958,2
challenge,958,4
breaking,955,3
south,953,3
contact,950,2
done,948,4
real,947,4
anyone,944,1
sure,941,1
continue,937,2
safety,925,4
measure,909,2
feel,909,1
mean,905,4
lost,905,4
yesterday,901,3
full,900,4
economic,899,2
learn,896,4
morning,883,2
looking,880,4
away,879,4
disease,879,2
thought,878,1
ever,874,4
level,871,2
issue,871,2
already,869,4
education,868,2
govt,865,2
increase,865,3
distancing,863,1
using,859,4
highest,853,0
story,853,4
coronaviruspandemic,851,3
blood,846,1
odisha,844,0
talk,843,4
second,841,2
dead,841,2
infected,836,3
young,835,4
slow,831,2
question,830,4
someone,826,1
district,825,0
making,822,1
order,816,4
future,811,4
lakh,806,0
control,805,2
treatment,801,2
used,786,4
industry,784,2
remember,783,1
coming,779,4
florida,778,2
others,765,1
available,764,2
police,761,3
africa,760,3
plasma,755,3
group,752,2
three,752,3
information,744,2
together,741,4
hard,733,1
close,733,2
human,731,4
mark,731,0
trial,731,3
teacher,730,4
fact,724,4
money,721,1
happy,721,4
coronavirusupdate,711,0
discus,710,2
parent,710,4
always,709,1
wearamask,708,1
believe,707,1
office,707,4
cross,703,0
enough,703,1
class,701,2
return,700,4
market,695,2
webinar,693,2
early,690,2
found,688,2
employee,687,4
restriction,687,2
canada,686,2
sample,683,0
chief,682,3
thousand,680,2
among,680,3
relief,678,4
announced,676,3
worldwide,675,3
election,673,4
past,671,3
able,667,1
negative,667,3
might,666,1
least,665,2
identify,662,0
point,662,4
problem,661,4
current,655,3
something,654,1
australia,652,3
become,651,4
trying,651,1
doesnt,647,1
fear,647,4
recorded,642,0
effect,641,2
closed,641,2
saturday,637,3
university,637,3
despite,637,2
action,636,4
cause,636,2
area,635,2
youre,632,1
save,629,1
college,628,4
thats,626,4
according,623,3
visit,620,2
seen,620,4
understand,619,4
especially,616,4
little,613,1
likely,611,2
science,611,4
protest,608,4
house,608,4
different,608,4
youtube,608,2
small,607,4
normal,604,4
event,603,2
texas,600,2
reopening,599,4
link,597,2
party,596,4
emergency,596,2
thread,594,4
following,592,2
soon,591,4
single,589,3
everything,588,1
sooner,587,0
learning,586,4
policy,586,4
stand,584,2
affected,583,2
play,582,4
provide,577,4
updated,575,3
type,574,1
effort,573,4
sarscov,573,3
almost,572,2
international,572,2
game,570,4
hear,570,4
fall,570,2
population,569,3
nothing,568,1
bill,568,1
united,567,3
sick,567,1
reason,567,4
centre,566,3
transmission,565,2
singleday,565,0
opportunity,565,4
demand,565,2
sunday,565,3
season,563,4
weekend,562,4
access,562,4
friday,561,3
saying,558,4
prevent,557,4
experience,557,4
virtual,554,2
continues,554,2
guideline,554,2
rule,553,4
taken,552,2
effective,551,4
congress,548,4
dying,544,4
whole,544,4
listen,543,4
recent,542,3
living,542,4
scientist,542,4
interesting,538,2
citizen,536,4
step,536,4
nation,535,2
technology,535,2
reach,535,3
related,534,3
wave,530,2
line,528,4
customer,528,1
resident,527,2
nearly,527,3
decision,526,4
claim,525,2
given,525,2
selfreporting,523,0
potus,523,1
tomorrow,523,2
ready,519,4
left,518,4
lead,518,2
worst,514,2
vote,514,1
march,513,2
facility,513,2
conducted,512,0
healthy,511,1
actually,509,4
role,509,4
matter,509,4
ensure,506,4
head,506,2
program,505,2
list,504,2
kill,504,4
increased,502,3
helping,502,4
power,501,4
summer,501,4
till,501,3
offer,501,4
cure,501,4
count,500,3
fauci,500,4
phase,498,3
twitter,496,4
zealand,496,3
four,495,3
reporting,494,3
resource,494,2
digital,491,2
concern,491,2
republican,490,1
bringing,488,3
survey,488,2
strategy,488,4
ministry,488,3
reopen,486,2
hydroxychloroquine,486,4
seems,485,4
cost,484,2
rapid,484,4
black,483,4
critical,482,2
deal,481,4
tweet,480,4
development,479,2
true,478,4
meeting,475,2
fighting,475,4
project,475,2
blog,475,2
putin,475,2
indian,473,2
nurse,473,4
solution,471,4
idea,471,4
isnt,470,4
drug,469,2
essential,468,4
california,467,2
financial,466,2
source,465,3
hotel,465,2
detail,465,3
governor,464,2
told,464,4
forget,464,1
fatality,463,0
took,462,2
federal,462,2
major,461,2
heart,461,4
word,460,4
started,459,2
wish,459,4
